,-277,803,272
5645,-251,996,262
5650,3,71,196
5655,4,-1024,147
5660,157,-101,283
5665,-284,961,231
5670,111,-257,196
5675,67,-946,209
5680,-66,343,252
5685,-192,869,218
5690,45,-556,317
5695,196,-720,268
5700,-238,555,238
5705,-95,675,252
5710,-26,-654,275
5715,191,-494,366
5720,-235,878,288
5725,-33,350,254
5730,-50,-957,174
5735,149,-265,336
5740,-292,961,248
5745,-7,-41,201
5750,-29,-1024,164
5755,-31,105,248
5760,-227,942,229
5765,124,-346,197
5770,108,-903,226
5775,-134,395,239
5780,-181,809,256
5785,-11,-551,309
5790,211,-599,284
5795,-192,769,289
5800,-51,555,281
5805,-21,-881,231
5810,195,-339,344
5815,-282,989,255
5820,62,-4,235
5825,-54,-1024,163
5830,19,3,260
5835,-231,976,236
5840,-231,976,236
5845,121,-298,193
5850,153,-980,205
5855,-120,351,249
5860,-179,816,259
5865,-1,-565,313
5870,214,-623,263
5875,-195,749,275
5880,-79,557,247
5885,-31,-810,259
5890,200,-458,354
5895,-295,1005,260
5900,27,108,267
5905,-53,-1004,164
5910,73,-102,268
5915,-289,1016,245
5920,45,-152,168
5925,37,-1024,181
5930,-53,231,252
5935,-179,843,217
5940,69,-517,326
5945,154,-793,242
5950,-164,567,244
5955,-115,739,277
5960,16,-645,283
5965,191,-579,322
5970,-251,903,285
5975,-3,370,268
5980,-34,-954,188
5985,160,-307,328
5990,-232,950,268
5995,-16,73,207
6000,-20,-1024,153
6005,39,-38,264
6010,-244,909,251
6015,74,-211,185
[FEATURES] f0=-29035 f1=147734 f2=150560 f3=-307000 f4=257000 f5=564000 f6=121047 f7=-14510 f8=689460 f9=689613 f10=-1024000 f11=1016000 f12=2040000 f13=613764 f14=250560 f15=49665 f16=255434 f17=147000 f18=381000 f19=234000 f20=37643
[SCALED_FEATURES] f0=-369 f1=1643 f2=1680 f3=-1949 f4=1794 f5=1899 f6=1561 f7=-969 f8=2992 f9=2998 f10=-3195 f11=3088 f12=3150 f13=2925 f14=-753 f15=-30 f16=-440 f17=-280 f18=307 f19=300 f20=-133
[FEATURES_X] mean=-29035 std=147734 rms=150560 min=-307000 max=257000 p2p=564000 mad=121047
[FEATURES_Y] mean=-14510 std=689460 rms=689613 min=-1024000 max=1016000 p2p=2040000 mad=613764
[FEATURES_Z] mean=250560 std=49665 rms=255434 min=147000 max=381000 p2p=234000 mad=37643
[CLASS] CLASS=rotor_unbalance ID=1 scores_x1000=[-6925,13686,-1054,-5707]
[CLASS_STATS] condition=rotor_unbalance total_windows=6
predicted_count=[0,6,0,0]
correct_windows=6
accuracy_x1000=1000
current_prediction=1
[CLASS_TIMING] sample_interval_ms=5 window_acquisition_ms=894 feature_extract_ms=8 inference_ms=1 total_cycle_ms=969
6121,114,-142,295
6123,114,-142,295
6126,-282,944,229
6128,-282,944,229
6131,85,-212,188
6133,85,-212,188
6136,-15,-973,193
6139,-15,-973,193
6141,-46,195,257
6144,-46,195,257
6146,-46,195,257
6149,-201,899,234
6151,-201,899,234
6154,102,-388,240
6156,102,-388,240
6159,108,-883,237
6161,108,-883,237
6164,-130,500,240
6167,-157,749,250
6169,-157,749,250
6172,-13,-560,314
6174,-13,-560,314
6177,183,-684,279
6179,183,-684,279
6182,-211,683,255
6185,-211,683,255
6187,-82,727,249
6190,-82,727,249
6192,-3,-704,273
